Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
SpiceJet,2019-05-24,Banglore,Delhi,21:10:00,00:05:00,175.0,0,No Info,3971
IndiGo,2019-04-12,Banglore,Delhi,18:55:00,21:50:00,175.0,0,No Info,5780
IndiGo,2019-05-03,Chennai,Kolkata,11:35:00,14:00:00,145.0,0,No Info,4332
Multiple Carriers,2019-06-27,Delhi,Cochin,07:00:00,19:00:00,720.0,1,No Info,12192
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,16:20:00,590.0,1,No Info,14781
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,09:45:00,1450.0,1,In-flight meal not included,8066
Jet Airways,2019-03-27,Delhi,Cochin,17:35:00,04:25:00,650.0,2,In-flight meal not included,9412
Jet Airways,2019-04-12,Banglore,Delhi,18:55:00,22:00:00,185.0,0,No Info,7229
Jet Airways,2019-05-21,Delhi,Cochin,08:00:00,19:00:00,660.0,1,No Info,16289
Jet Airways,2019-03-06,Delhi,Cochin,23:05:00,04:25:00,320.0,1,No Info,15764
Jet Airways,2019-06-15,Banglore,Delhi,15:15:00,18:10:00,175.0,0,In-flight meal not included,7229
IndiGo,2019-03-27,Mumbai,Hyderabad,12:00:00,13:25:00,85.0,0,No Info,2754
Air India,2019-03-09,Banglore,New Delhi,22:00:00,13:20:00,920.0,1,No Info,8425
IndiGo,2019-04-01,Banglore,Delhi,16:55:00,19:55:00,180.0,0,No Info,4823
Air India,2019-03-06,Banglore,New Delhi,08:15:00,11:20:00,1625.0,2,No Info,13942
Air India,2019-05-15,Delhi,Cochin,06:50:00,07:40:00,1490.0,2,No Info,14431
Multiple Carriers,2019-05-09,Delhi,Cochin,10:20:00,19:00:00,520.0,1,No Info,9794
IndiGo,2019-03-01,Banglore,New Delhi,13:40:00,18:35:00,295.0,1,No Info,8707
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,20:20:00,375.0,1,In-flight meal not included,11087
Air India,2019-03-01,Banglore,New Delhi,21:10:00,23:55:00,165.0,0,No Info,25703
Jet Airways,2019-03-12,Banglore,New Delhi,05:45:00,11:25:00,340.0,1,No Info,13817
Multiple Carriers,2019-06-06,Delhi,Cochin,07:05:00,19:15:00,730.0,1,No Info,14848
